,created_at,positive,neutral,negative,count
1,2021-10-21 01,0.0,0.84,0.16,1
2,2021-10-21 02,0.0,0.84,0.16,1
3,2021-10-21 03,0.244,0.756,0.0,1
4,2021-10-21 06,0.0,1.0,0.0,1
5,2021-10-21 07,0.08133333333333333,0.9186666666666667,0.0,3
6,2021-10-21 15,0.0,1.0,0.0,6
7,2021-10-21 20,0.0,1.0,0.0,1
8,2021-10-21 21,0.064,0.936,0.0,1
0,2021-10-22 01,0.0,1.0,0.0,1
1,2021-10-22 05,0.194,0.806,0.0,1
2,2021-10-22 14,0.0,1.0,0.0,1
3,2021-10-22 15,0.244,0.756,0.0,1
4,2021-10-22 19,0.0,1.0,0.0,2
5,2021-10-22 22,0.216,0.784,0.0,2
6,2021-10-22 23,0.11325,0.88675,0.0,4
0,2021-10-25 00,0.0,1.0,0.0,2
1,2021-10-25 01,0.0,1.0,0.0,5
2,2021-10-25 04,0.0,1.0,0.0,2
3,2021-10-25 05,0.0,1.0,0.0,1
4,2021-10-25 06,0.0,0.741,0.259,1
5,2021-10-25 07,0.127,0.813,0.06,1
6,2021-10-25 10,0.672,0.328,0.0,1
7,2021-10-25 12,0.058,0.913,0.029,2
8,2021-10-25 14,0.0,1.0,0.0,1
9,2021-10-25 16,0.05983333333333333,0.9401666666666667,0.0,6
10,2021-10-25 17,0.0,0.6111666666666666,0.0555,6
11,2021-10-25 18,0.0,0.964,0.036,2
12,2021-10-25 22,0.0,1.0,0.0,1
13,2021-10-25 23,0.03166666666666667,0.9683333333333333,0.0,6
0,2021-10-26 00,0.26075000000000004,0.68425,0.055,4
1,2021-10-26 01,0.0,1.0,0.0,4
2,2021-10-26 02,0.116,0.884,0.0,1
3,2021-10-26 04,0.244,0.756,0.0,1
4,2021-10-26 09,0.0,1.0,0.0,1
5,2021-10-26 12,0.0,1.0,0.0,2
6,2021-10-26 14,0.0,1.0,0.0,1
7,2021-10-26 15,0.0494,0.9294,0.020999999999999998,5
8,2021-10-26 16,0.0,1.0,0.0,1
9,2021-10-26 17,0.029,0.955,0.016,4
10,2021-10-26 18,0.0,0.9466666666666667,0.05333333333333334,3
